CustomerID,first_purchase_date,total_orders,total_revenue,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346,2011-01-18 10:01:00,1,154367.2,326,1,154367.2,1,1,5,115,Hibernating
12347,2011-08-02 08:48:00,7,5497.18,130,7,5497.18,3,5,5,355,Loyalists
12348,2011-04-05 10:47:00,4,2917.48,249,4,2917.48,2,4,5,245,Others
12349,2011-11-21 09:51:00,1,1757.55,19,1,1757.55,5,1,4,514,Potential Loyalist
12350,2011-02-02 16:01:00,1,668.8,310,1,668.8,1,1,3,113,Hibernating
12352,2011-03-01 14:57:00,8,2802.54,283,8,2802.54,2,5,5,255,Others
12353,2011-05-19 17:47:00,1,89.0,204,1,89.0,2,1,1,211,Hibernating
12354,2011-04-21 13:11:00,1,1079.4,232,1,1079.4,2,1,4,214,Hibernating
12355,2011-05-09 13:49:00,1,459.4,214,1,459.4,2,1,2,212,Hibernating
12356,2011-04-08 12:33:00,3,5083.05,246,3,5083.05,2,3,5,235,Others
12357,2011-11-06 16:07:00,1,6207.67,33,1,6207.67,5,1,5,515,Potential Loyalist
12358,2011-12-08 10:26:00,2,1168.06,2,2,1168.06,5,2,4,524,Potential Loyalist
12359,2011-06-03 12:26:00,4,8758.99,190,4,8758.99,3,4,5,345,Loyalists
12360,2011-10-18 15:22:00,3,2662.06,52,3,2662.06,4,3,5,435,Loyalists
12361,2011-02-25 13:51:00,1,189.9,287,1,189.9,1,1,1,111,Hibernating
12362,2011-11-04 09:07:00,10,5705.33,36,10,5705.33,5,5,5,555,Champions
12363,2011-04-11 13:29:00,2,552.0,242,2,552.0,2,2,2,222,Hibernating
12364,2011-12-02 10:22:00,4,1313.1,8,4,1313.1,5,4,4,544,Champions
12365,2011-02-21 13:51:00,2,641.38,291,2,641.38,1,2,3,123,Hibernating
12367,2011-12-05 16:48:00,1,168.9,4,1,168.9,5,1,1,511,Potential Loyalist
12370,2011-03-10 12:48:00,4,5413.71,275,4,5413.71,2,4,5,245,Others
12371,2011-10-11 10:43:00,2,1887.96,60,2,1887.96,4,2,4,424,Potential Loyalist
12372,2011-05-11 10:43:00,3,1697.26,213,3,1697.26,2,3,4,234,Others
12373,2011-02-01 13:10:00,1,729.2,311,1,729.2,1,1,3,113,Hibernating
12374,2011-11-14 15:37:00,1,742.93,25,1,742.93,5,1,3,513,Potential Loyalist
12375,2011-09-02 14:23:00,2,457.5,98,2,457.5,4,2,2,422,Potential Loyalist
12377,2010-12-20 09:37:00,2,3256.24,355,2,3256.24,1,2,5,125,Hibernating
12378,2011-08-02 10:34:00,1,4008.62,130,1,4008.62,3,1,5,315,Others
12379,2011-09-19 10:09:00,2,852.24,82,2,852.24,4,2,3,423,Potential Loyalist
12380,2011-06-07 09:49:00,4,2724.81,186,4,2724.81,3,4,5,345,Loyalists
12381,2011-12-05 12:44:00,5,1845.31,5,5,1845.31,5,4,4,544,Champions
12383,2011-06-08 08:02:00,5,3102.44,185,5,3102.44,3,4,5,345,Loyalists
12384,2011-08-10 11:23:00,2,585.27,122,2,585.27,3,2,3,323,Others
12386,2011-01-06 12:37:00,2,803.8,338,2,803.8,1,2,3,123,Hibernating
12388,2011-02-07 13:59:00,6,3336.01,305,6,3336.01,1,4,5,145,Others
12390,2011-09-21 09:33:00,1,549.84,80,1,549.84,4,1,2,412,Potential Loyalist
12391,2011-11-18 12:07:00,1,460.89,22,1,460.89,5,1,2,512,Potential Loyalist
12393,2011-04-08 09:45:00,4,2222.1,246,4,2222.1,2,4,4,244,Others
12394,2011-05-06 14:01:00,2,1272.48,217,2,1272.48,2,2,4,224,Hibernating
12395,2010-12-03 16:35:00,12,3930.06,371,12,3930.06,1,5,5,155,Others
12397,2011-11-04 09:52:00,2,2409.9,36,2,2409.9,5,2,5,525,Potential Loyalist
12398,2011-10-25 10:27:00,1,1635.66,46,1,1635.66,4,1,4,414,Potential Loyalist
12399,2011-06-09 13:09:00,4,1108.65,183,4,1108.65,3,4,4,344,Loyalists
12401,2011-02-09 13:50:00,1,168.6,303,1,168.6,1,1,1,111,Hibernating
12402,2011-01-20 13:49:00,1,451.2,323,1,451.2,1,1,2,112,Hibernating
12403,2011-10-21 10:51:00,1,427.7,50,1,427.7,4,1,2,412,Potential Loyalist
12405,2011-07-14 08:52:00,1,1710.39,149,1,1710.39,3,1,4,314,Others
12406,2011-06-09 10:23:00,2,3415.3,184,2,3415.3,3,2,5,325,Others
12407,2011-07-06 09:49:00,5,1708.12,157,5,1708.12,3,4,4,344,Loyalists
12408,2011-09-02 10:27:00,5,2888.55,99,5,2888.55,3,4,5,345,Loyalists
12409,2011-06-10 12:19:00,3,11072.67,183,3,11072.67,3,3,5,335,Loyalists
12410,2011-02-04 10:38:00,2,1386.66,309,2,1386.66,1,2,4,124,Hibernating
12412,2011-06-23 13:51:00,3,1226.88,169,3,1226.88,3,3,4,334,Loyalists
12413,2011-10-04 09:00:00,3,1237.35,67,3,1237.35,4,3,4,434,Loyalists
